title,author,publication_year
"The Adventures of Tom Sawyer","Mark Twain",1876
"The War of the Worlds","H.G. Wells",1898
"Ulysses","James Joyce",1922
"The Canterbury Tales","Geoffrey Chaucer",1400
"The Divine Comedy","Dante Alighieri",1472
"Madame Bovary","Gustave Flaubert",1856
"Middlemarch","George Eliot",1871
"A Tale of Two Cities","Charles Dickens",1859
"The Iliad","Homer",8th century BCE
"The Divine Secrets of the Ya-Ya Sisterhood","Rebecca Wells",1996
"Jurassic Park","Michael Crichton",1990
"The Girl with the Dragon Tattoo","Stieg Larsson",2005
"The Hunger Games: Catching Fire","Suzanne Collins",2009
"The Girl on the Train","Paula Hawkins",2015
"The Help","Kathryn Stockett",2009
"The Da Vinci Code","Dan Brown",2003
"The Catcher in the Rye","J.D. Salinger",1951
"To Kill a Mockingbird","Harper Lee",1960
"The Great Gatsby","F. Scott Fitzgerald",1925
"Pride and Prejudice","Jane Austen",1813
"Frankenstein","Mary Shelley",1818
"The Lord of the Rings","J.R.R. Tolkien",1954
"Animal Farm","George Orwell",1945
"The Picture of Dorian Gray","Oscar Wilde",1890
"The Chronicles of Narnia","C.S. Lewis",1950
"The Adventures of Sherlock Holmes","Arthur Conan Doyle",1892
"Alice's Adventures in Wonderland","Lewis Carroll",1865
"Dracula","Bram Stoker",1897
"The Grapes of Wrath","John Steinbeck",1939
"Sense and Sensibility","Jane Austen",1811
